season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
14,3,Katherine Jenkins,0.08901930135613938,0.001495319931674417,0.016797704642638037,0.9834797968505037,0.0863869395316464,0.09172126754124885,percent
14,3,Maria Menounos,0.09468937365002705,0.001421297989053107,0.01501011078926596,0.9852118608182197,0.09209464396598334,0.09741970743358733,percent
14,4,William Levy,0.11770840604806523,0.0025177278409973317,0.02138953304634198,0.9790583980408074,0.11313485769306349,0.12248924536011122,percent
14,4,Sherri Sheperd,1.0000041531875167e-08,5.4411392541167593e-14,5.441116656138986e-06,0.9999945589129494,9.999999999998258e-09,1.000015968438139e-08,percent
14,4,Jaleel White,0.11710885782472924,0.0016356653095385095,0.013967050314729609,0.9862253410400326,0.1144276713372914,0.12092532770491737,percent
14,4,Roshon Fegan,0.10101035987725179,0.0014874126368887549,0.014725347367302372,0.9854883418399795,0.09875596468968709,0.10401708798972688,percent
14,4,Melissa Gilbert,0.11743408161111671,0.001942931868579819,0.01654487216934044,0.9837244054617745,0.11356202895948933,0.12033570438185708,percent
14,4,Donald Driver,0.09669344637345914,0.0016408481354599053,0.0169695899463802,0.9833135718962108,0.09376341723598539,0.09909455387600048,percent
14,4,Gavin DeGraw,0.11340908663126943,0.0019209157741683107,0.01693793532094871,0.9833441798829119,0.11025491776696182,0.1163136815808814,percent
14,4,Gladys Knight,0.12607388353682739,0.0016800074848164733,0.01332557891996503,0.9868496570133284,0.12315428750433377,0.12921171660622563,percent
14,4,Katherine Jenkins,0.10963256614663434,0.0019938776565270925,0.01818691039175592,0.9821379451983345,0.10690738658625498,0.11412154344760622,percent
14,4,Maria Menounos,0.1009293019506052,0.0027122403646078768,0.0268726753498726,0.9738305673186632,0.09738844665176015,0.1066069957328405,percent
14,5,William Levy,0.11151597526908794,0.0019338107057938001,0.017341109209936218,0.9829544790307321,0.10781896664386878,0.11509379531290549,percent
14,5,Jaleel White,0.13185899261389764,0.0020172954645964252,0.015298884244500188,0.9849316447777994,0.12770588630009427,0.1359001172717056,percent
14,5,Roshon Fegan,0.12340191785171668,0.002442179561270535,0.019790450616862604,0.9805936105747102,0.11913564379706797,0.12688115013181217,percent
14,5,Melissa Gilbert,0.14459535063059822,0.0019848115288108566,0.013726662165518102,0.986459207715623,0.14114621494822133,0.1476878946585897,percent
14,5,Donald Driver,0.11843772853172425,0.001993447326445827,0.016831185055291485,0.9834474145731709,0.11542650411670285,0.1218687397187099,percent
